Year,concept.REF_AREA,Value
2007,code.KG,10.5
2008,code.KG,10.8
2009,code.KG,9.1
2010,code.KG,9.0
2011,code.KG,8.0
2012,code.KG,7.9
2013,code.KG,6.4
2014,code.KG,6.8
2015,code.KG,7.0
2016,code.KG,6.0
2017,code.KG,5.9
2007,code.KG05,1.4
2008,code.KG05,2.8
2009,code.KG05,3.5
2010,code.KG05,3.0
2011,code.KG05,1.3
2012,code.KG05,3.5
2013,code.KG05,3.9
2014,code.KG05,2.1
2015,code.KG05,1.4
2016,code.KG05,1.2
2017,code.KG05,3.3
2007,code.KG03,2.3
2008,code.KG03,1.4
2009,code.KG03,1.5
2010,code.KG03,2.4
2011,code.KG03,2.2
2012,code.KG03,2.4
2013,code.KG03,2.2
2014,code.KG03,2.1
2015,code.KG03,2.9
2016,code.KG03,1.9
2017,code.KG03,2.5
2007,code.KG02,34.1
2008,code.KG02,35.1
2009,code.KG02,26.2
2010,code.KG02,33.0
2011,code.KG02,31.4
2012,code.KG02,26.6
2013,code.KG02,24.8
2014,code.KG02,30.6
2015,code.KG02,31.3
2016,code.KG02,19.4
2017,code.KG02,23.5
2007,code.KG04,12.4
2008,code.KG04,9.3
2009,code.KG04,9.7
2010,code.KG04,11.5
2011,code.KG04,9.9
2012,code.KG04,8.3
2013,code.KG04,6.3
2014,code.KG04,5.5
2015,code.KG04,7.2
2016,code.KG04,7.2
2017,code.KG04,8.1
2007,code.KG06,1.0
2008,code.KG06,2.4
2009,code.KG06,2.7
2010,code.KG06,2.5
2011,code.KG06,2.4
2012,code.KG06,3.7
2013,code.KG06,1.6
2014,code.KG06,2.7
2015,code.KG06,4.0
2016,code.KG06,3.4
2017,code.KG06,2.3
2007,code.KG07,3.6
2008,code.KG07,4.4
2009,code.KG07,4.4
2010,code.KG07,3.5
2011,code.KG07,2.6
2012,code.KG07,5.5
2013,code.KG07,3.7
2014,code.KG07,4.1
2015,code.KG07,6.8
2016,code.KG07,6.3
2017,code.KG07,2.3
2007,code.KG08,15.8
2008,code.KG08,16.0
2009,code.KG08,11.9
2010,code.KG08,11.1
2011,code.KG08,7.7
2012,code.KG08,9.4
2013,code.KG08,7.4
2014,code.KG08,7.9
2015,code.KG08,6.3
2016,code.KG08,7.9
2017,code.KG08,7.9
2007,code.KG11,24.1
2008,code.KG11,24.3
2009,code.KG11,21.0
2010,code.KG11,16.3
2011,code.KG11,16.0
2012,code.KG11,12.2
2013,code.KG11,9.9
2014,code.KG11,10.0
2015,code.KG11,8.1
2016,code.KG11,8.1
2017,code.KG11,6.6
2007,code.KG21,1.6
2008,code.KG21,3.5
2009,code.KG21,3.1
2010,code.KG21,3.9
2011,code.KG21,3.5
2012,code.KG21,5.8
2013,code.KG21,4.9
2014,code.KG21,1.9
2015,code.KG21,4.4
2016,code.KG21,6.1
2017,code.KG21,3.5
