Year,concept.REF_AREA,Units,Value
2013,Ошская область,Местная валюта,2.9
2014,Ошская область,Местная валюта,1.1
2015,Ошская область,Местная валюта,1364.2
2016,Ошская область,Местная валюта,16.2
2017,Ошская область,Местная валюта,261.8
2018,Ошская область,Местная валюта,12.4
2007,Таласская область,Португалия,0.21097800000000003
2008,Таласская область,Португалия,0.051951
2009,Таласская область,Португалия,0.405354
2010,Таласская область,Португалия,0.29974
2011,Таласская область,Португалия,0.045176999999999995
2012,Таласская область,Португалия,0.518047
2013,Таласская область,Португалия,0.059489999999999994
2014,Таласская область,Португалия,0.008098000000000001
2015,Таласская область,Португалия,0.061364999999999996
2016,Таласская область,Португалия,0.5173180000000001
2017,Таласская область,Португалия,0.092032
2007,Таласская область,Местная валюта,12.3
2008,Таласская область,Местная валюта,4.4
2009,Таласская область,Местная валюта,24.5
2010,Таласская область,Местная валюта,22.0
2011,Таласская область,Местная валюта,3.0
2012,Таласская область,Местная валюта,49.0
2013,Таласская область,Местная валюта,6.6
2014,Таласская область,Местная валюта,1.1
2015,Таласская область,Местная валюта,8.9
2016,Таласская область,Местная валюта,76.1
2017,Таласская область,Местная валюта,14.7
2018,Таласская область,Местная валюта,0.7
2007,Чуй,Португалия,0.035582
2010,Чуй,Португалия,0.0057009999999999995
2011,Чуй,Португалия,0.01326
2012,Чуй,Португалия,0.004035
2013,Чуй,Португалия,0.029168
2014,Чуй,Португалия,0.033948
2015,Чуй,Португалия,0.033197000000000004
2016,Чуй,Португалия,0.118862
2017,Чуй,Португалия,0.23467800000000003
2007,Чуй,Местная валюта,8.4
2010,Чуй,Местная валюта,1.7
2011,Чуй,Местная валюта,5.6
2012,Чуй,Местная валюта,1.7
2013,Чуй,Местная валюта,14.1
2014,Чуй,Местная валюта,20.0
2015,Чуй,Местная валюта,24.4
2016,Чуй,Местная валюта,93.2
2017,Чуй,Местная валюта,207.5
2018,Чуй,Местная валюта,6.1
2007,Бишкек (город),Португалия,0.063779
2008,Бишкек (город),Португалия,0.060758000000000006
2013,Бишкек (город),Португалия,0.0005099999999999999
2015,Бишкек (город),Португалия,0.028177999999999998
2016,Бишкек (город),Португалия,0.047988
2017,Бишкек (город),Португалия,0.006461
2007,Бишкек (город),Местная валюта,32.2
2008,Бишкек (город),Местная валюта,41.5
2013,Бишкек (город),Местная валюта,0.7
2015,Бишкек (город),Местная валюта,44.7
2016,Бишкек (город),Местная валюта,86.8
2017,Бишкек (город),Местная валюта,129.8
2018,Бишкек (город),Местная валюта,856.9
2007,г. Ош,Португалия,0.01574
2008,г. Ош,Португалия,0.0033710000000000003
2012,г. Ош,Португалия,0.006958
2013,г. Ош,Португалия,0.034602
2015,г. Ош,Португалия,0.6187199999999999
2016,г. Ош,Португалия,0.001192
2017,г. Ош,Португалия,0.202023
2007,г. Ош,Местная валюта,0.7
2008,г. Ош,Местная валюта,0.2
2012,г. Ош,Местная валюта,1.1
2013,г. Ош,Местная валюта,6.3
2015,г. Ош,Местная валюта,139.1
2016,г. Ош,Местная валюта,0.3
2017,г. Ош,Местная валюта,61.5
