Year,concept.REF_AREA,Value
2007,code.KG,21.062708999999998
2008,code.KG,19.633713
2009,code.KG,18.141025
2010,code.KG,16.397145000000002
2011,code.KG,15.346363
2012,code.KG,14.627092999999999
2013,code.KG,14.891975
2014,code.KG,15.641511999999999
2015,code.KG,13.997993
2016,code.KG,12.670713000000001
2017,code.KG,11.795339
2018,code.KG,13.0
2007,code.KG05,20.020582
2008,code.KG05,20.371252
2009,code.KG05,17.752959
2010,code.KG05,17.905103
2011,code.KG05,15.911964000000001
2012,code.KG05,13.333332999999998
2013,code.KG05,13.29229
2014,code.KG05,12.498302
2015,code.KG05,11.21983
2016,code.KG05,10.61082
2017,code.KG05,10.611457000000001
2018,code.KG05,6.0
2007,code.KG03,17.491993
2008,code.KG03,13.828495000000002
2009,code.KG03,13.109231
2010,code.KG03,11.41671
2011,code.KG03,11.64604
2012,code.KG03,11.539978999999999
2013,code.KG03,13.183481
2014,code.KG03,14.415326
2015,code.KG03,12.659814
2016,code.KG03,11.493097
2017,code.KG03,9.918574000000001
2018,code.KG03,29.0
2007,code.KG02,17.433752
2008,code.KG02,18.44146
2009,code.KG02,16.389014000000003
2010,code.KG02,15.933098999999999
2011,code.KG02,16.267429
2012,code.KG02,14.75265
2013,code.KG02,11.261052000000001
2014,code.KG02,9.306183
2015,code.KG02,12.182109
2016,code.KG02,8.420139
2017,code.KG02,9.423503
2018,code.KG02,17.0
2007,code.KG04,17.912773
2008,code.KG04,16.943931
2009,code.KG04,14.464366
2010,code.KG04,12.251149
2011,code.KG04,10.273497
2012,code.KG04,12.369975
2013,code.KG04,11.58413
2014,code.KG04,12.209828
2015,code.KG04,8.720930000000001
2016,code.KG04,11.227763000000001
2017,code.KG04,9.984399
2018,code.KG04,7.0
2007,code.KG06,12.608002
2008,code.KG06,13.417951
2009,code.KG06,10.630954
2010,code.KG06,10.695524
2011,code.KG06,8.214286
2012,code.KG06,6.444122
2013,code.KG06,5.10597
2014,code.KG06,5.045162
2015,code.KG06,4.312545
2016,code.KG06,3.485959
2017,code.KG06,3.098263
2018,code.KG06,15.0
2007,code.KG07,28.86102
2008,code.KG07,24.548244
2009,code.KG07,25.589948
2010,code.KG07,19.147084
2011,code.KG07,16.905248999999998
2012,code.KG07,15.341308999999999
2013,code.KG07,19.851851999999997
2014,code.KG07,16.656751999999997
2015,code.KG07,12.700333
2016,code.KG07,12.336039999999999
2017,code.KG07,12.267905
2018,code.KG07,
2007,code.KG08,21.918468
2008,code.KG08,19.965577
2009,code.KG08,18.539076
2010,code.KG08,16.0724
2011,code.KG08,15.37476
2012,code.KG08,14.294878
2013,code.KG08,14.537282999999999
2014,code.KG08,13.354037
2015,code.KG08,12.614628
2016,code.KG08,10.407594
2017,code.KG08,6.655345
2018,code.KG08,5.0
2007,code.KG11,31.519613
2008,code.KG11,29.87456
2009,code.KG11,27.261589
2010,code.KG11,25.128553
2011,code.KG11,24.125335999999997
2012,code.KG11,21.38653
2013,code.KG11,22.854904
2014,code.KG11,25.985737
2015,code.KG11,23.028610999999998
2016,code.KG11,22.846557999999998
2017,code.KG11,23.162225
2018,code.KG11,6.0
2007,code.KG21,49.506943
2008,code.KG21,42.992096000000004
2009,code.KG21,49.784765
2010,code.KG21,42.06501
2011,code.KG21,46.632124
2012,code.KG21,53.846154000000006
2013,code.KG21,55.639098
2014,code.KG21,63.961301
2015,code.KG21,61.963775
2016,code.KG21,50.222162
2017,code.KG21,46.864858
2018,code.KG21,16.0
