Year,concept.REF_AREA,Value
2007,,0.131641
2008,,0.093408
2009,,0.292075
2010,,0.280044
2011,,0.014719
2012,,0.282856
2013,,0.337489
2014,,0.07079400000000001
2015,,0.061812
2016,,0.207433
2017,,0.31
2007,code.KG05,0.0
2008,code.KG05,0.272358
2009,code.KG05,0.0
2010,code.KG05,0.208713
2011,code.KG05,0.0
2012,code.KG05,0.0
2013,code.KG05,0.0
2014,code.KG05,0.0
2015,code.KG05,0.33619699999999997
2016,code.KG05,0.32112399999999997
2017,code.KG05,1.08
2007,code.KG03,0.201018
2008,code.KG03,0.0
2009,code.KG03,0.0
2010,code.KG03,0.216058
2011,code.KG03,0.0
2012,code.KG03,0.609259
2013,code.KG03,0.0
2014,code.KG03,0.0
2015,code.KG03,0.0
2016,code.KG03,0.0
2017,code.KG03,0.0
2007,code.KG02,0.048472
2008,code.KG02,0.342174
2009,code.KG02,0.578817
2010,code.KG02,0.110701
2011,code.KG02,0.0
2012,code.KG02,0.0
2013,code.KG02,0.0
2014,code.KG02,0.0
2015,code.KG02,0.0
2016,code.KG02,0.0
2017,code.KG02,0.0
2007,code.KG04,0.12956700000000002
2008,code.KG04,0.626312
2009,code.KG04,0.026858999999999997
2010,code.KG04,3.463971
2011,code.KG04,0.308425
2012,code.KG04,0.0
2013,code.KG04,0.84393
2014,code.KG04,0.196184
2015,code.KG04,0.7436119999999999
2016,code.KG04,0.704462
2017,code.KG04,0.66
2007,code.KG06,0.328401
2008,code.KG06,0.029951
2009,code.KG06,0.0
2010,code.KG06,0.094542
2011,code.KG06,0.0
2012,code.KG06,0.0
2013,code.KG06,0.0
2014,code.KG06,0.0
2015,code.KG06,0.0
2016,code.KG06,0.0
2017,code.KG06,0.0
2007,code.KG07,0.0
2008,code.KG07,0.0
2009,code.KG07,0.0
2010,code.KG07,0.0
2011,code.KG07,0.0
2012,code.KG07,0.0
2013,code.KG07,0.0
2014,code.KG07,0.0
2015,code.KG07,0.0
2016,code.KG07,0.0
2017,code.KG07,0.0
2007,code.KG08,0.0
2008,code.KG08,0.0
2009,code.KG08,1.350155
2010,code.KG08,0.159032
2011,code.KG08,0.0
2012,code.KG08,1.092998
2013,code.KG08,0.35878899999999997
2014,code.KG08,0.41763
2015,code.KG08,0.0
2016,code.KG08,1.0097459999999998
2017,code.KG08,1.27
2007,code.KG11,0.0
2008,code.KG11,0.020003
2009,code.KG11,0.270397
2010,code.KG11,0.0
2011,code.KG11,0.0
2012,code.KG11,0.033046
2013,code.KG11,1.54623
2014,code.KG11,0.0
2015,code.KG11,0.0
2016,code.KG11,0.0
2017,code.KG11,0.0
2012,code.KG21,0.0
2013,code.KG21,0.0
2014,code.KG21,0.0
2015,code.KG21,0.0
2016,code.KG21,0.0
2017,code.KG21,0.0
