Year,concept.REF_AREA,Value
2007,,1.8436580000000002
2008,,0.342848
2009,,0.074304
2010,,0.036711
2011,,0.79786
2012,,0.0535
2013,,0.06993200000000001
2015,,0.016786000000000002
2016,,0.098687
2017,,0.032266
2018,,0.015815
2007,code.KG05,5.181616
2008,code.KG05,0.466742
2009,code.KG05,0.69695
2007,code.KG03,0.614139
2008,code.KG03,0.10130700000000001
2009,code.KG03,0.098527
2010,code.KG03,0.194196
2012,code.KG02,0.22188000000000002
2007,code.KG04,0.371395
2008,code.KG04,0.36949299999999996
2008,code.KG06,0.0
2011,code.KG06,0.087772
2008,code.KG07,0.0
2007,code.KG08,3.1648490000000002
2008,code.KG08,0.52547
2012,code.KG08,0.12041500000000001
2016,code.KG08,0.11156600000000001
2017,code.KG08,0.0
2018,code.KG08,0.10736199999999999
2007,code.KG11,5.183496
2008,code.KG11,1.220988
2011,code.KG11,4.728536
2012,code.KG11,0.11306400000000001
2013,code.KG11,0.441934
2015,code.KG11,0.105495
2016,code.KG11,0.309465
2017,code.KG11,0.201764
2007,code.KG21,0.400375
2008,code.KG21,0.0
2016,code.KG21,0.7172569999999999
2017,code.KG21,0.0
