Year,Series,concept.REF_AREA,Units,Value
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,7.8
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,3.5
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,4.6
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,4.3
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,6.0
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,3.6
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,3.9
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,2.2
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,23.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,35.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,16.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,21.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,20.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,28.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,17.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,19.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG02,CL_UNIT_MEASURE.NUMBER,11.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.9
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.0
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,4.1
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.8
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.6
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.5
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.5
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.1
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.7
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,5.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,8.0
