Year,concept.REF_AREA,concept.SEX,Value
2011,CL_AREA.KG02,CL_SEX.M,31.115103
2012,CL_AREA.KG02,CL_SEX.M,28.242618
2013,CL_AREA.KG02,CL_SEX.M,40.426190000000005
2014,CL_AREA.KG02,CL_SEX.M,26.354813
2015,CL_AREA.KG02,CL_SEX.M,29.078559999999996
2016,CL_AREA.KG02,CL_SEX.M,24.749642
2017,CL_AREA.KG02,CL_SEX.M,24.266813
2018,CL_AREA.KG02,CL_SEX.M,21.495641
2007,CL_AREA.KG02,CL_SEX.F,38.498843
2008,CL_AREA.KG02,CL_SEX.F,52.32036
2009,CL_AREA.KG02,CL_SEX.F,44.51291
2010,CL_AREA.KG02,CL_SEX.F,39.006289
2011,CL_AREA.KG02,CL_SEX.F,28.112246999999996
2012,CL_AREA.KG02,CL_SEX.F,28.021324
2013,CL_AREA.KG02,CL_SEX.F,38.474804
2014,CL_AREA.KG02,CL_SEX.F,25.663079
2015,CL_AREA.KG02,CL_SEX.F,28.701454
2016,CL_AREA.KG02,CL_SEX.F,24.739204
2017,CL_AREA.KG02,CL_SEX.F,24.067407
2018,CL_AREA.KG02,CL_SEX.F,21.566132
2007,CL_AREA.KG04,,45.182679
2008,CL_AREA.KG04,,42.730284000000005
2009,CL_AREA.KG04,,44.11792
2010,CL_AREA.KG04,,53.531335
2011,CL_AREA.KG04,,49.925098
2012,CL_AREA.KG04,,39.932299
2013,CL_AREA.KG04,,43.754395
2014,CL_AREA.KG04,,30.560927000000003
2015,CL_AREA.KG04,,38.007028999999996
2016,CL_AREA.KG04,,37.798212
2017,CL_AREA.KG04,,29.21834
2018,CL_AREA.KG04,,30.596328000000003
2007,CL_AREA.KG04,CL_SEX.M,46.868159000000006
2008,CL_AREA.KG04,CL_SEX.M,42.698865999999995
2009,CL_AREA.KG04,CL_SEX.M,44.838863
2010,CL_AREA.KG04,CL_SEX.M,53.397509
2011,CL_AREA.KG04,CL_SEX.M,48.269824
2012,CL_AREA.KG04,CL_SEX.M,37.664069
2013,CL_AREA.KG04,CL_SEX.M,44.781415
2014,CL_AREA.KG04,CL_SEX.M,32.369301
2015,CL_AREA.KG04,CL_SEX.M,39.504744
2016,CL_AREA.KG04,CL_SEX.M,39.601890999999995
2017,CL_AREA.KG04,CL_SEX.M,31.189138
2018,CL_AREA.KG04,CL_SEX.M,31.5949
2007,CL_AREA.KG04,CL_SEX.F,43.678265
2008,CL_AREA.KG04,CL_SEX.F,42.757725
2009,CL_AREA.KG04,CL_SEX.F,43.496308
2010,CL_AREA.KG04,CL_SEX.F,53.67666800000001
2011,CL_AREA.KG04,CL_SEX.F,51.728537
2012,CL_AREA.KG04,CL_SEX.F,42.395906
2013,CL_AREA.KG04,CL_SEX.F,42.671843
2014,CL_AREA.KG04,CL_SEX.F,28.643083
2015,CL_AREA.KG04,CL_SEX.F,36.407725
2016,CL_AREA.KG04,CL_SEX.F,35.859946
2017,CL_AREA.KG04,CL_SEX.F,27.069803999999998
2018,CL_AREA.KG04,CL_SEX.F,29.460632
2007,CL_AREA.KG06,,46.591609999999996
2008,CL_AREA.KG06,,37.452826
2009,CL_AREA.KG06,,38.292035999999996
2010,CL_AREA.KG06,,41.897118
2011,CL_AREA.KG06,,44.680774
2012,CL_AREA.KG06,,51.433698
2013,CL_AREA.KG06,,43.409369
2014,CL_AREA.KG06,,31.740140000000004
2015,CL_AREA.KG06,,28.944511
2016,CL_AREA.KG06,,22.024663
2017,CL_AREA.KG06,,14.267617000000001
2018,CL_AREA.KG06,,14.778620000000002
2007,CL_AREA.KG06,CL_SEX.M,48.708186
2008,CL_AREA.KG06,CL_SEX.M,37.931554
2009,CL_AREA.KG06,CL_SEX.M,38.334635999999996
2010,CL_AREA.KG06,CL_SEX.M,40.639753999999996
2011,CL_AREA.KG06,CL_SEX.M,44.169695000000004
2012,CL_AREA.KG06,CL_SEX.M,50.553916
2013,CL_AREA.KG06,CL_SEX.M,42.660819000000004
2014,CL_AREA.KG06,CL_SEX.M,30.494417
2015,CL_AREA.KG06,CL_SEX.M,28.438703000000004
2016,CL_AREA.KG06,CL_SEX.M,21.810872
2017,CL_AREA.KG06,CL_SEX.M,12.948414999999999
2018,CL_AREA.KG06,CL_SEX.M,15.25625
2007,CL_AREA.KG06,CL_SEX.F,44.295394
2008,CL_AREA.KG06,CL_SEX.F,36.913059999999994
2009,CL_AREA.KG06,CL_SEX.F,38.245332
2010,CL_AREA.KG06,CL_SEX.F,43.246261
2011,CL_AREA.KG06,CL_SEX.F,45.24075
2012,CL_AREA.KG06,CL_SEX.F,52.41883
2013,CL_AREA.KG06,CL_SEX.F,44.228326
2014,CL_AREA.KG06,CL_SEX.F,33.102942
2015,CL_AREA.KG06,CL_SEX.F,29.48951
2016,CL_AREA.KG06,CL_SEX.F,22.264453
2017,CL_AREA.KG06,CL_SEX.F,15.723495000000002
2018,CL_AREA.KG06,CL_SEX.F,14.253422
2007,CL_AREA.KG07,,35.259053
