Year,concept.REF_AREA,Value
2011,,5.6
2011,CL_AREA.KG05,9.8
2011,CL_AREA.KG03,4.1
2011,CL_AREA.KG02,3.2
2011,CL_AREA.KG04,3.1
2011,CL_AREA.KG06,6.4
2011,CL_AREA.KG07,4.5
2011,CL_AREA.KG08,2.2
