Year,Units,Series,Value
2013,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,1037.0
2014,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,778.0
2015,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,507.0
2016,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,616.0
2017,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,490.0
2018,CL_UNIT_MEASURE.HA,CL_SERIES.AG_LND_FRSTCHG,400.0
2013,CL_UNIT_MEASURE.T_PER_HA,CL_SERIES.AG_LND_FRSTBIOPHA,26.7
2013,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.7
2014,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.7
2015,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.7
2016,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.7
2017,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.7
2018,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTPRCTN,5.8
2013,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,74.6
2014,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,76.4
2015,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,78.0
2016,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,79.6
2017,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,81.3
2018,CL_UNIT_MEASURE.PT,CL_SERIES.AG_LND_FRSTMGT,82.6
