Year,Units,Value
2007,code.PT,0.102468
2008,code.PT,0.6574220000000001
2009,code.PT,0.037073
2010,code.PT,0.23456100000000002
2011,code.PT,0.32864899999999997
2012,code.PT,0.297902
2013,code.PT,0.062089
2014,code.PT,0.113728
2015,code.PT,0.532092
2016,code.PT,0.21124
2017,code.PT,0.193675
2018,code.PT,0.21801700000000002
2007,code.CUR_LCU,145.4
2008,code.CUR_LCU,1235.9
2009,code.CUR_LCU,74.6
2010,code.CUR_LCU,516.9
2011,code.CUR_LCU,939.9
2012,code.CUR_LCU,924.9
2013,code.CUR_LCU,220.6
2014,code.CUR_LCU,455.7
2015,code.CUR_LCU,2290.6
2016,code.CUR_LCU,1006.2
2017,code.CUR_LCU,1027.4
2018,code.CUR_LCU,1214.6
