Year,Units,Value
2014,CL_UNIT_MEASURE.M_M3_PER_YR,2029.8
2015,CL_UNIT_MEASURE.M_M3_PER_YR,2092.3
2016,CL_UNIT_MEASURE.M_M3_PER_YR,1841.6
2017,CL_UNIT_MEASURE.M_M3_PER_YR,2128.3
2018,CL_UNIT_MEASURE.M_M3_PER_YR,2085.2
2014,CL_UNIT_MEASURE.PT,26.5
2015,CL_UNIT_MEASURE.PT,27.6
2016,CL_UNIT_MEASURE.PT,25.1
2017,CL_UNIT_MEASURE.PT,27.8
2018,CL_UNIT_MEASURE.PT,26.9
