Year,concept.REF_AREA,concept.SEX,Value
2007,code.KG06,,102.866708
2008,code.KG06,,97.93956999999999
2009,code.KG06,,99.50311500000001
2010,code.KG06,,90.272855
2011,code.KG06,,86.981785
2012,code.KG06,,89.531841
2013,code.KG06,,97.42358399999999
2014,code.KG06,,90.681619
2015,code.KG06,,91.23786899999999
2016,code.KG06,,83.857442
2017,code.KG06,,84.4
2007,code.KG06,code.F,85.479058
2008,code.KG06,code.F,79.853854
2009,code.KG06,code.F,84.498903
2010,code.KG06,code.F,83.3
2011,code.KG06,code.F,78.306875
2012,code.KG06,code.F,79.852654
2013,code.KG06,code.F,89.2
2014,code.KG06,code.F,82.7
2015,code.KG06,code.F,83.8
2016,code.KG06,code.F,78.4
2017,code.KG06,code.F,73.3
2007,code.KG06,code.M,120.17593500000001
2008,code.KG06,code.M,115.96536599999999
2009,code.KG06,code.M,114.26834299999999
2010,code.KG06,code.M,97.1
2011,code.KG06,code.M,95.537626
2012,code.KG06,code.M,99.072585
2013,code.KG06,code.M,105.5
2014,code.KG06,code.M,98.5
2015,code.KG06,code.M,98.5
2016,code.KG06,code.M,89.2
2017,code.KG06,code.M,95.3
2007,code.KG07,,109.772016
2008,code.KG07,,98.863075
2009,code.KG07,,98.836801
2010,code.KG07,,105.89956000000001
2011,code.KG07,,107.889182
2012,code.KG07,,96.876369
2013,code.KG07,,106.455247
2014,code.KG07,,101.92599399999999
2015,code.KG07,,95.886509
2016,code.KG07,,83.723318
2017,code.KG07,,73.9
2007,code.KG07,code.F,86.911498
2008,code.KG07,code.F,90.931636
2009,code.KG07,code.F,76.560919
2010,code.KG07,code.F,87.0
2011,code.KG07,code.F,90.31325799999999
2012,code.KG07,code.F,85.593946
2013,code.KG07,code.F,89.3
2014,code.KG07,code.F,89.6
2015,code.KG07,code.F,81.0
2016,code.KG07,code.F,67.0
2017,code.KG07,code.F,66.0
2007,code.KG07,code.M,132.527127
2008,code.KG07,code.M,106.730401
2009,code.KG07,code.M,121.03776699999999
2010,code.KG07,code.M,124.6
2011,code.KG07,code.M,125.307942
2012,code.KG07,code.M,108.024821
2013,code.KG07,code.M,123.4
2014,code.KG07,code.M,114.1
2015,code.KG07,code.M,110.5
2016,code.KG07,code.M,100.1
2017,code.KG07,code.M,81.6
2007,code.KG08,,158.506191
2008,code.KG08,,166.836568
2009,code.KG08,,155.18168899999998
2010,code.KG08,,154.517607
2011,code.KG08,,158.53919199999999
2012,code.KG08,,156.78039099999998
2013,code.KG08,,144.320612
2014,code.KG08,,129.231041
2015,code.KG08,,141.654663
2016,code.KG08,,135.218207
2017,code.KG08,,136.2
2007,code.KG08,code.F,125.927217
2008,code.KG08,code.F,125.534299
2009,code.KG08,code.F,117.922225
2010,code.KG08,code.F,125.0
2011,code.KG08,code.F,112.21888200000001
2012,code.KG08,code.F,111.42140500000001
2013,code.KG08,code.F,108.3
2014,code.KG08,code.F,108.3
2015,code.KG08,code.F,118.6
2016,code.KG08,code.F,111.0
2017,code.KG08,code.F,108.3
2007,code.KG08,code.M,191.988363
2008,code.KG08,code.M,209.227296
2009,code.KG08,code.M,193.791585
2010,code.KG08,code.M,185.1
2011,code.KG08,code.M,206.421677
2012,code.KG08,code.M,203.602691
2013,code.KG08,code.M,181.5
2014,code.KG08,code.M,150.8
2015,code.KG08,code.M,165.4
2016,code.KG08,code.M,160.2
2017,code.KG08,code.M,165.0
2007,code.KG11,,174.387607
2008,code.KG11,,123.075571
2009,code.KG11,,114.473037
2010,code.KG11,,113.11275800000001
2011,code.KG11,,114.984154
2012,code.KG11,,123.691851
2013,code.KG11,,126.393198
2014,code.KG11,,133.511493
2015,code.KG11,,132.924152
2016,code.KG11,,114.6052
2017,code.KG11,,113.1
2007,code.KG11,code.F,121.38989099999999
2008,code.KG11,code.F,101.464217
2009,code.KG11,code.F,90.39282
2010,code.KG11,code.F,91.9
2011,code.KG11,code.F,90.229385
2012,code.KG11,code.F,97.405136
2013,code.KG11,code.F,110.2
2014,code.KG11,code.F,108.1
2015,code.KG11,code.F,103.1
2016,code.KG11,code.F,92.2
2017,code.KG11,code.F,91.3
2007,code.KG11,code.M,232.39882599999999
2008,code.KG11,code.M,146.69989099999998
2009,code.KG11,code.M,142.327909
2010,code.KG11,code.M,137.6
2011,code.KG11,code.M,143.52973899999998
2012,code.KG11,code.M,153.949048
2013,code.KG11,code.M,145.0
2014,code.KG11,code.M,162.1
2015,code.KG11,code.M,167.0
2016,code.KG11,code.M,140.2
2017,code.KG11,code.M,137.8
2007,code.KG21,,103.296686
2008,code.KG21,,99.531522
2009,code.KG21,,99.784188
2010,code.KG21,,85.444525
2011,code.KG21,,88.724902
2012,code.KG21,,98.39240799999999
2013,code.KG21,,83.705251
2014,code.KG21,,103.082002
2015,code.KG21,,89.736358
2016,code.KG21,,92.52618000000001
2017,code.KG21,,89.7
2007,code.KG21,code.F,83.113365
2008,code.KG21,code.F,63.749058999999995
2009,code.KG21,code.F,82.603422
2010,code.KG21,code.F,68.0
2011,code.KG21,code.F,75.03507900000001
2012,code.KG21,code.F,78.139535
2013,code.KG21,code.F,64.4
2014,code.KG21,code.F,92.2
2015,code.KG21,code.F,78.5
2016,code.KG21,code.F,77.6
2017,code.KG21,code.F,75.3
2007,code.KG21,code.M,125.184647
2008,code.KG21,code.M,138.35178
2009,code.KG21,code.M,118.375597
2010,code.KG21,code.M,104.4
2011,code.KG21,code.M,103.609189
2012,code.KG21,code.M,120.37972099999999
2013,code.KG21,code.M,104.5
2014,code.KG21,code.M,114.8
2015,code.KG21,code.M,101.8
2016,code.KG21,code.M,108.5
2017,code.KG21,code.M,105.2
