Year,Series,Value
2014,CL_SERIES.SH_STA_WAST,2.8
2018,CL_SERIES.SH_STA_WAST,2.0
2014,CL_SERIES.SN_STA_OVWGT,7.0
2018,CL_SERIES.SN_STA_OVWGT,6.9
