Year,Units,Series,Value
2014,CL_UNIT_MEASURE.M_M3_PER_YR,CL_SERIES._L_KG_060401_2A,2029.8
2015,CL_UNIT_MEASURE.M_M3_PER_YR,CL_SERIES._L_KG_060401_2A,2092.3
2016,CL_UNIT_MEASURE.M_M3_PER_YR,CL_SERIES._L_KG_060401_2A,1841.6
2017,CL_UNIT_MEASURE.M_M3_PER_YR,CL_SERIES._L_KG_060401_2A,2128.3
2018,CL_UNIT_MEASURE.M_M3_PER_YR,CL_SERIES._L_KG_060401_2A,2085.2
2014,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_060401_2B,26.5
2015,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_060401_2B,27.6
2016,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_060401_2B,25.1
2017,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_060401_2B,27.8
2018,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_060401_2B,26.9
