Year,Series,Value
2014,CL_SERIES._L_KG_160501_1B1,378
2015,CL_SERIES._L_KG_160501_1B1,336
2016,CL_SERIES._L_KG_160501_1B1,351
2017,CL_SERIES._L_KG_160501_1B1,234
2018,CL_SERIES._L_KG_160501_1B1,342
2014,CL_SERIES._L_KG_160501_1B2,62
2015,CL_SERIES._L_KG_160501_1B2,69
2016,CL_SERIES._L_KG_160501_1B2,72
2017,CL_SERIES._L_KG_160501_1B2,52
2018,CL_SERIES._L_KG_160501_1B2,56
